iid;title;year;Children's;Comedy;Animation;Fantasy;Adventure;Romance;Drama;Thriller;Crime;Action;Horror;Sci-Fi;Documentary;War;Musical;Mystery;Film-Noir;Western;directors;actors;writers
14;Cutthroat Island;1989;False;False;False;False;True;True;False;False;False;True;False;False;False;False;False;False;False;False;;Matthew Modine;
15;Casino;1989;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;Martin Scorsese;Robert De Niro,Sharon Stone,Joe Pesci,James Woods;
16;Sense and Sensibility;1989;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;;;
17;Four Rooms;1989;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;;;Quentin Tarantino
18;Ace Ventura: When Nature Calls;1989;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
19;Money Train;1989;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;;Wesley Snipes,Woody Harrelson;
20;Get Shorty;1989;False;True;False;False;False;False;True;False;False;True;False;False;False;False;False;False;False;False;;John Travolta,Gene Hackman,Rene Russo,Danny DeVito;
21;Copycat;1989;False;False;False;False;False;False;True;True;True;False;False;False;False;False;False;False;False;False;;Sigourney Weaver;
22;Assassins;1989;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;Richard Donner;Sylvester Stallone,Julianne Moore;
23;Powder;1989;False;False;False;False;False;False;True;False;False;False;False;True;False;False;False;False;False;False;;Jeff Goldblum;
24;Leaving Las Vegas;1989;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;;Nicolas Cage;
25;Othello;1989;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;;Kenneth Branagh;William Shakespeare
26;Now and Then;1989;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;;Melanie Griffith;
27;Persuasion;1989;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;;;
28;City of Lost Children;1989;False;False;False;False;True;False;False;False;False;False;False;True;False;False;False;False;False;False;;;
29;Shanghai Triad;1989;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;;;
30;Dangerous Minds;1989;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;;Michelle Pfeiffer;Ronald Bass
31;Twelve Monkeys;1989;False;False;False;False;False;False;True;False;False;False;False;True;False;False;False;False;False;False;;;
32;Babe;1989;True;True;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;;;
33;Carrington;1989;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;;;
34;Dead Man Walking;1989;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;;Susan Sarandon;
35;It Takes Two;1989;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
36;Clueless;1989;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;;;
37;Cry, the Beloved Country;1989;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;;;
38;Richard III;1989;False;False;False;False;False;False;True;False;False;False;False;False;False;True;False;False;False;False;;;William Shakespeare
39;Dead Presidents;1989;False;False;False;False;False;False;True;False;True;True;False;False;False;False;False;False;False;False;;;
40;Restoration;1989;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;;Sam Neill;
41;Mortal Kombat;1989;False;False;False;False;True;False;False;False;False;True;False;False;False;False;False;False;False;False;;;
42;To Die For;1989;False;True;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;;Nicole Kidman,Matt Dillon;
43;How to Make an American Quilt;1989;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;;;
44;Seven;1989;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;;;
45;Pocahontas;1989;True;False;True;False;False;True;False;False;False;False;False;False;False;False;True;False;False;False;;;Burny Mattinson
46;When Night Is Falling;1989;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;;;
47;Usual Suspects;1989;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;;Gabriel Byrne;
48;Mighty Aphrodite;1989;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;Woody Allen;;Woody Allen
49;Big Green;1989;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
50;Georgia;1989;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;;Jennifer Jason Leigh;
51;Home for the Holidays;1989;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;;Anne Bancroft;
52;Postino, Il;1989;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;;;
53;Indian in the Cupboard;1989;True;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
54;Eye for an Eye;1989;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;;Ed Harris;
55;Mr. Holland's Opus;1989;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;;Richard Dreyfuss;
56;Don't Be a Menace to South Central While Drinking Your Juice in the Hood;1989;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
57;Two if by Sea;1989;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;;Sandra Bullock;
58;Bio-Dome;1989;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
59;Lawnmower Man 2: Beyond Cyberspace;1989;False;False;False;False;False;False;False;True;False;False;False;True;False;False;False;False;False;False;;;
60;French Twist;1989;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;;;
61;Friday;1989;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
62;From Dusk Till Dawn;1989;False;True;False;False;False;False;False;True;True;True;True;False;False;False;False;False;False;False;;Harvey Keitel,Juliette Lewis;Quentin Tarantino
63;Fair Game;1989;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;;;
64;Kicking and Screaming;1989;False;True;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;;;
65;Misérables, Les;1989;False;False;False;False;False;False;True;False;False;False;False;False;False;False;True;False;False;False;;;
66;Bed of Roses;1989;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;;Christian Slater;
67;Big Bully;1989;False;True;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;;;
68;Screamers;1989;False;False;False;False;False;False;False;True;False;False;False;True;False;False;False;False;False;False;;;Dan O'Bannon
69;Nico Icon;1989;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;;;
70;Crossing Guard;1989;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;;Jack Nicholson;
71;Juror;1989;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;;Demi Moore,Alec Baldwin;
72;White Balloon;1989;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;;;
73;Things to Do in Denver when You're Dead;1989;False;False;False;False;False;True;True;False;True;False;False;False;False;False;False;False;False;False;;Andy Garcia,Christopher Lloyd;
74;Antonia's Line;1989;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;;;
75;Once Upon a Time... When We Were Colored;1989;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;;;
76;Last Summer in the Hamptons;1989;False;True;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;;;
77;Angels and Insects;1989;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;;;
78;White Squall;1989;False;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;;Jeff Bridges;
79;Dunston Checks In;1989;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;Faye Dunaway;
80;Black Sheep;1989;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
81;Nick of Time;1989;False;False;False;False;False;False;False;True;False;True;False;False;False;False;False;False;False;False;;Johnny Depp,Christopher Walken;
82;Mary Reilly;1989;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;;Julia Roberts,John Malkovich;
83;Vampire in Brooklyn;1989;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;;Eddie Murphy;
84;Beautiful Girls;1989;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;;Matt Dillon;
85;Broken Arrow;1989;False;False;False;False;False;False;False;True;False;True;False;False;False;False;False;False;False;False;;John Travolta,Christian Slater;
86;In the Bleak Midwinter;1989;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
87;Hate;1989;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;;;
88;Heidi Fleiss: Hollywood Madam;1989;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;;;
89;City Hall;1989;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;;Al Pacino,John Cusack,Bridget Fonda;Paul Schrader
90;Bottle Rocket;1989;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
91;Mr. Wrong;1989;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;Bill Pullman,Joan Cusack;
92;Unforgettable;1989;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;;;
93;Happy Gilmore;1989;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
94;Bridges of Madison County;1989;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;Clint Eastwood;Clint Eastwood,Meryl Streep;Richard LaGravenese
95;Nobody Loves Me;1989;False;True;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;;;
96;Muppet Treasure Island;1989;True;True;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;False;;;
97;Braveheart;1989;False;False;False;False;False;False;True;False;False;True;False;False;False;True;False;False;False;False;;;
98;Taxi Driver;1969;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;Martin Scorsese;;Paul Schrader
99;Rumble in the Bronx;1989;False;False;False;False;True;False;False;False;True;True;False;False;False;False;False;False;False;False;;;
100;Before and After;1989;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;True;False;False;;Meryl Streep,Liam Neeson;
101;Margaret's Museum;1989;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;;;
102;Anne Frank Remembered;1989;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;;Kenneth Branagh,Glenn Close;
103;Young Poisoner's Handbook;1989;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;;;
104;If Lucy Fell;1989;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;;;
105;Steal Big, Steal Little;1989;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;Andy Garcia;
106;Boys of St. Vincent;1989;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;;;
107;Boomerang;1989;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;;Eddie Murphy;
108;Chungking Express;1989;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;True;False;False;;;
109;Star Maker;1989;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;;;
110;Flirting With Disaster;1989;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
111;NeverEnding Story III;1989;True;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
112;Jupiter's Wife;1989;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;;;
113;Pie in the Sky;1989;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;;John Goodman;
114;Frankie Starlight;1989;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;;Gabriel Byrne;
115;Jade;1989;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;;;
116;Down Periscope;1989;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
117;Man of the Year;1989;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;;;
118;Up Close and Personal;1989;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;;;
119;Birdcage;1989;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;Robin Williams,Gene Hackman,Dianne Wiest;
120;Brothers McMullen;1989;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
121;Bad Boys;1989;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;;;
122;Amazing Panda Adventure;1989;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
123;Basketball Diaries;1989;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;;;
124;Awfully Big Adventure;1989;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;;Hugh Grant;
125;Amateur;1989;False;False;False;False;False;False;True;True;True;False;False;False;False;False;False;False;False;False;;;
126;Apollo 13;1989;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;Ron Howard;Tom Hanks,Bill Paxton,Kevin Bacon;
127;Rob Roy;1989;False;False;False;False;False;True;True;False;False;False;False;False;False;True;False;False;False;False;;Liam Neeson,Jessica Lange;
128;Addiction;1989;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;;Christopher Walken;
129;Batman Forever;1989;False;True;False;False;True;False;False;False;True;True;False;False;False;False;False;False;False;False;Joel Schumacher;Val Kilmer,Tommy Lee Jones,Nicole Kidman;
130;Belle de jour;1959;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;;Catherine Deneuve;Jean-Claude Carrière
131;Beyond Rangoon;1989;False;False;False;False;False;False;True;False;False;False;False;False;False;True;False;False;False;False;;;
132;Blue in the Face;1989;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;Michael J. Fox;
133;Canadian Bacon;1989;False;True;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;;;
134;Casper;1989;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
135;Clockers;1989;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;Spike Lee;Harvey Keitel;Spike Lee
136;Congo;1989;False;False;False;False;True;False;False;False;False;True;False;True;False;False;False;True;False;False;;;Michael Crichton
137;Crimson Tide;1989;False;False;False;False;False;False;True;True;False;False;False;False;False;True;False;False;False;False;;Denzel Washington,Gene Hackman;
138;Crumb;1989;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;;;
139;Desperado;1989;False;False;False;False;False;True;False;True;False;True;False;False;False;False;False;False;False;False;;;
140;Devil in a Blue Dress;1989;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;True;True;False;;Denzel Washington;
141;Die Hard: With a Vengeance;1989;False;False;False;False;False;False;False;True;False;True;False;False;False;False;False;False;False;False;;Bruce Willis,Samuel L. Jackson;
142;Doom Generation;1989;False;True;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;;;
143;First Knight;1989;False;False;False;False;True;True;True;False;False;True;False;False;False;False;False;False;False;False;;Sean Connery,Richard Gere;
144;Free Willy 2: The Adventure Home;1989;True;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;;;
145;Hackers;1989;False;False;False;False;False;False;False;True;True;True;False;False;False;False;False;False;False;False;;;
146;Jeffrey;1989;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
147;Johnny Mnemonic;1989;False;False;False;False;False;False;False;True;False;True;False;True;False;False;False;False;False;False;;Keanu Reeves;
148;Judge Dredd;1989;False;False;False;False;True;False;False;False;False;True;False;True;False;False;False;False;False;False;;Sylvester Stallone;
149;Jury Duty;1989;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
150;Kids;1989;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;;;
151;Living in Oblivion;1989;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
152;Lord of Illusions;1989;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;;;
153;Love & Human Remains;1989;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
154;Mad Love;1989;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;;Drew Barrymore;
155;Mallrats;1989;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
156;Mighty Morphin Power Rangers: The Movie;1989;True;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;;;
157;Moonlight and Valentino;1989;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;;Whoopi Goldberg;
158;Mute Witness;1989;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;;;
159;Nadja;1989;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;;;
160;Net;1989;False;False;False;False;False;False;False;True;False;False;False;True;False;False;False;False;False;False;;Sandra Bullock;
161;Nine Months;1989;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;Hugh Grant,Julianne Moore,Joan Cusack;
162;Party Girl;1989;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
163;Prophecy;1989;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;;Christopher Walken;
164;Reckless;1989;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
165;Safe;1989;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;;Julianne Moore;
166;Scarlet Letter;1989;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;;Demi Moore,Gary Oldman,Robert Duvall;
167;Showgirls;1989;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;;;
168;Smoke;1989;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;;Harvey Keitel;
169;Something to Talk About;1989;False;True;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;;Julia Roberts,Dennis Quaid,Robert Duvall;
170;Species;1989;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;;;
171;Stars Fell on Henrietta;1989;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;;Robert Duvall;
172;Strange Days;1989;False;False;False;False;False;False;False;False;True;True;False;True;False;False;False;False;False;False;;Ralph Fiennes,Juliette Lewis;James Cameron,James Cameron
173;Umbrellas of Cherbourg;1959;False;False;False;False;False;False;True;False;False;False;False;False;False;False;True;False;False;False;;Catherine Deneuve;
174;Tie That Binds;1989;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;;;
175;Three Wishes;1989;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;;;
176;Total Eclipse;1989;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;;;
177;To Wong Foo, Thanks for Everything! Julie Newmar;1989;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
178;Under Siege 2: Dark Territory;1989;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;;;
179;Unstrung Heroes;1989;False;True;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;;;Richard LaGravenese
180;Unzipped;1989;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;;;
181;Walk in the Clouds;1989;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;;Keanu Reeves;
182;Waterworld;1989;False;False;False;False;True;False;False;False;False;True;False;False;False;False;False;False;False;False;;Kevin Costner;
183;White Man's Burden;1989;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;;John Travolta;
184;Wild Bill;1989;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;;Jeff Bridges;
185;Browning Version;1989;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;;Matthew Modine;
186;Bushwhacked;1989;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
187;Burnt By the Sun;1989;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;;;
188;Before the Rain;1989;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;;;
189;Before Sunrise;1989;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;;;
190;Billy Madison;1989;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
191;Babysitter;1989;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;;;
192;Boys on the Side;1989;False;True;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;;Whoopi Goldberg,Drew Barrymore;
193;Cure;1989;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;;;
194;Castle Freak;1989;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;;;
195;Circle of Friends;1989;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;;;
196;Clerks;1989;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
197;Don Juan DeMarco;1989;False;True;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;;;
198;Disclosure;1989;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;Barry Levinson;Michael Douglas,Demi Moore,Donald Sutherland;Michael Crichton
199;Drop Zone;1989;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;;Wesley Snipes;
200;Destiny Turns on the Radio;1989;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
201;Death and the Maiden;1989;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;;Sigourney Weaver;
202;Dolores Claiborne;1989;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;;;
203;Dumb & Dumber;1989;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;Jeff Daniels;
204;Eat Drink Man Woman;1989;False;True;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;;;
205;Exotica;1989;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;;;
206;Exit to Eden;1989;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;Dan Aykroyd;
207;Ed Wood;1989;False;True;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;;Johnny Depp;
208;French Kiss;1989;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;;Meg Ryan,Kevin Kline;
209;Forget Paris;1989;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;;;Lowell Ganz,Babaloo Mandel
210;Far From Home: The Adventures of Yellow Dog;1989;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
211;Goofy Movie;1989;True;True;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;;;
212;Hideaway;1989;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;;Jeff Goldblum;
213;Fluke;1989;True;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;;Samuel L. Jackson,Matthew Modine;
214;Farinelli: il castrato;1989;False;False;False;False;False;False;True;False;False;False;False;False;False;False;True;False;False;False;;;
215;Glass Shield;1989;False;False;False;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;;;
216;Hoop Dreams;1989;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;;;
217;Heavenly Creatures;1989;False;False;False;True;False;True;True;True;False;False;False;False;False;False;False;False;False;False;;;
218;Houseguest;1989;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
219;Immortal Beloved;1989;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;;Gary Oldman;
220;Heavyweights;1989;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
221;Hunted;1989;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;;;
222;I.Q.;1989;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;;Tim Robbins,Meg Ryan,Walter Matthau;
223;Interview with the Vampire;1989;False;False;False;False;False;False;True;False;False;False;True;False;False;False;False;False;False;False;;Christian Slater;
224;Jefferson in Paris;1989;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;;Nick Nolte;
225;Jerky Boys;1989;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
226;Junior;1989;False;True;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;;Arnold Schwarzenegger,Danny DeVito;
227;Just Cause;1989;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;True;False;False;;Sean Connery;
228;Kid in King Arthur's Court;1989;True;True;False;True;True;True;False;False;False;False;False;False;False;False;False;False;False;False;;;
229;Kiss of Death;1989;False;False;False;False;False;False;True;True;True;False;False;False;False;False;False;False;False;False;;Samuel L. Jackson,Nicolas Cage;
230;Star Wars: Episode IV - A New Hope;1969;False;False;False;True;True;False;False;False;False;True;False;True;False;False;False;False;False;False;;Harrison Ford;George Lucas
231;Little Women;1989;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;;Winona Ryder,Gabriel Byrne;
232;Little Princess;1989;True;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;;;Richard LaGravenese
233;Ladybird Ladybird;1989;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;;;
234;Like Water for Chocolate;1989;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;;;
